label,region,treatment
Pepper__bell___Bacterial_spot,Asia,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «کوپر اکسی کلراید ۳۵٪ WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: هر ۷ روز. دوره مصرف: ۱۴ روز. در صورت فشار بیماری، مخلوط با «مانکوزب ۸۰٪ WP» (۲ گرم/لیتر).
Pepper__bell___Bacterial_spot,Africa,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «کوپر اکسی کلراید ۳۵٪ WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: هر ۷ روز. دوره مصرف: ۱۴ روز. در صورت فشار بیماری، مخلوط با «مانکوزب ۸۰٪ WP» (۲ گرم/لیتر).
Pepper__bell___Bacterial_spot,Europe,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «کوپر اکسی کلراید ۳۵٪ WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: هر ۷ روز. دوره مصرف: ۱۴ روز. در صورت فشار بیماری، مخلوط با «مانکوزب ۸۰٪ WP» (۲ گرم/لیتر).
Pepper__bell___Bacterial_spot,North America,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «کوپر اکسی کلراید ۳۵٪ WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: هر ۷ روز. دوره مصرف: ۱۴ روز. در صورت فشار بیماری، مخلوط با «مانکوزب ۸۰٪ WP» (۲ گرم/لیتر).
Pepper__bell___Bacterial_spot,South America,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «کوپر اکسی کلراید ۳۵٪ WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: هر ۷ روز. دوره مصرف: ۱۴ روز. در صورت فشار بیماری، مخلوط با «مانکوزب ۸۰٪ WP» (۲ گرم/لیتر).
Pepper__bell___Bacterial_spot,Australia,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «کوپر اکسی کلراید ۳۵٪ WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: هر ۷ روز. دوره مصرف: ۱۴ روز. در صورت فشار بیماری، مخلوط با «مانکوزب ۸۰٪ WP» (۲ گرم/لیتر).
Pepper__bell___healthy,Asia,گیاه سالم است؛ نیازی به مصرف سم نیست. پایش هفتگی، تغذیه متعادل و آبیاری منظم انجام شود.
Pepper__bell___healthy,Africa,گیاه سالم است؛ نیازی به مصرف سم نیست. پایش هفتگی، تغذیه متعادل و آبیاری منظم انجام شود.
Pepper__bell___healthy,Europe,گیاه سالم است؛ نیازی به مصرف سم نیست. پایش هفتگی، تغذیه متعادل و آبیاری منظم انجام شود.
Pepper__bell___healthy,North America,گیاه سالم است؛ نیازی به مصرف سم نیست. پایش هفتگی، تغذیه متعادل و آبیاری منظم انجام شود.
Pepper__bell___healthy,South America,گیاه سالم است؛ نیازی به مصرف سم نیست. پایش هفتگی، تغذیه متعادل و آبیاری منظم انجام شود.
Pepper__bell___healthy,Australia,گیاه سالم است؛ نیازی به مصرف سم نیست. پایش هفتگی، تغذیه متعادل و آبیاری منظم انجام شود.
Potato___Early_blight,Asia,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «مانکوزب ۸۰٪ WP». دوز: ۲–۲.۵ گرم در لیتر آب. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. در تناوب با «دیفناکونازول ۱۰٪ EC» (۰.۳ میلی‌لیتر/لیتر).
Potato___Early_blight,Africa,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «مانکوزب ۸۰٪ WP». دوز: ۲–۲.۵ گرم در لیتر آب. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. در تناوب با «دیفناکونازول ۱۰٪ EC» (۰.۳ میلی‌لیتر/لیتر).
Potato___Early_blight,Europe,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «مانکوزب ۸۰٪ WP». دوز: ۲–۲.۵ گرم در لیتر آب. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. در تناوب با «دیفناکونازول ۱۰٪ EC» (۰.۳ میلی‌لیتر/لیتر).
Potato___Early_blight,North America,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «مانکوزب ۸۰٪ WP». دوز: ۲–۲.۵ گرم در لیتر آب. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. در تناوب با «دیفناکونازول ۱۰٪ EC» (۰.۳ میلی‌لیتر/لیتر).
Potato___Early_blight,South America,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «مانکوزب ۸۰٪ WP». دوز: ۲–۲.۵ گرم در لیتر آب. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. در تناوب با «دیفناکونازول ۱۰٪ EC» (۰.۳ میلی‌لیتر/لیتر).
Potato___Early_blight,Australia,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «مانکوزب ۸۰٪ WP». دوز: ۲–۲.۵ گرم در لیتر آب. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. در تناوب با «دیفناکونازول ۱۰٪ EC» (۰.۳ میلی‌لیتر/لیتر).
Potato___healthy,Asia,گیاه سالم است؛ نیازی به مصرف سم نیست. پایش هفتگی، تغذیه متعادل و آبیاری منظم انجام شود.
Potato___healthy,Africa,گیاه سالم است؛ نیازی به مصرف سم نیست. پایش هفتگی، تغذیه متعادل و آبیاری منظم انجام شود.
Potato___healthy,Europe,گیاه سالم است؛ نیازی به مصرف سم نیست. پایش هفتگی، تغذیه متعادل و آبیاری منظم انجام شود.
Potato___healthy,North America,گیاه سالم است؛ نیازی به مصرف سم نیست. پایش هفتگی، تغذیه متعادل و آبیاری منظم انجام شود.
Potato___healthy,South America,گیاه سالم است؛ نیازی به مصرف سم نیست. پایش هفتگی، تغذیه متعادل و آبیاری منظم انجام شود.
Potato___healthy,Australia,گیاه سالم است؛ نیازی به مصرف سم نیست. پایش هفتگی، تغذیه متعادل و آبیاری منظم انجام شود.
Potato___Late_blight,Asia,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «سیموکسانیل + مانکوزب WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: ۵–۷ روز. دوره مصرف: ۱۴ روز. در فشار بالا از «متالاکسیل-ام + مانکوزب» طبق برچسب استفاده شود.
Potato___Late_blight,Africa,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «سیموکسانیل + مانکوزب WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: ۵–۷ روز. دوره مصرف: ۱۴ روز. در فشار بالا از «متالاکسیل-ام + مانکوزب» طبق برچسب استفاده شود.
Potato___Late_blight,Europe,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «سیموکسانیل + مانکوزب WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: ۵–۷ روز. دوره مصرف: ۱۴ روز. در فشار بالا از «متالاکسیل-ام + مانکوزب» طبق برچسب استفاده شود.
Potato___Late_blight,North America,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «سیموکسانیل + مانکوزب WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: ۵–۷ روز. دوره مصرف: ۱۴ روز. در فشار بالا از «متالاکسیل-ام + مانکوزب» طبق برچسب استفاده شود.
Potato___Late_blight,South America,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «سیموکسانیل + مانکوزب WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: ۵–۷ روز. دوره مصرف: ۱۴ روز. در فشار بالا از «متالاکسیل-ام + مانکوزب» طبق برچسب استفاده شود.
Potato___Late_blight,Australia,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «سیموکسانیل + مانکوزب WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: ۵–۷ روز. دوره مصرف: ۱۴ روز. در فشار بالا از «متالاکسیل-ام + مانکوزب» طبق برچسب استفاده شود.
Tomato__Target_Spot,Asia,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «آزوکسی‌استروبین ۲۵٪ SC». دوز: ۰.۵ میلی‌لیتر در لیتر آب. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. در تناوب با «کلروتالونیل ۷۵٪ WP» (۲ گرم/لیتر).
Tomato__Target_Spot,Africa,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «آزوکسی‌استروبین ۲۵٪ SC». دوز: ۰.۵ میلی‌لیتر در لیتر آب. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. در تناوب با «کلروتالونیل ۷۵٪ WP» (۲ گرم/لیتر).
Tomato__Target_Spot,Europe,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «آزوکسی‌استروبین ۲۵٪ SC». دوز: ۰.۵ میلی‌لیتر در لیتر آب. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. در تناوب با «کلروتالونیل ۷۵٪ WP» (۲ گرم/لیتر).
Tomato__Target_Spot,North America,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «آزوکسی‌استروبین ۲۵٪ SC». دوز: ۰.۵ میلی‌لیتر در لیتر آب. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. در تناوب با «کلروتالونیل ۷۵٪ WP» (۲ گرم/لیتر).
Tomato__Target_Spot,South America,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «آزوکسی‌استروبین ۲۵٪ SC». دوز: ۰.۵ میلی‌لیتر در لیتر آب. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. در تناوب با «کلروتالونیل ۷۵٪ WP» (۲ گرم/لیتر).
Tomato__Target_Spot,Australia,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «آزوکسی‌استروبین ۲۵٪ SC». دوز: ۰.۵ میلی‌لیتر در لیتر آب. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. در تناوب با «کلروتالونیل ۷۵٪ WP» (۲ گرم/لیتر).
Tomato__Tomato_mosaic_virus,Asia,حذف گیاهان آلوده، ضدعفونی ابزار، کاشت ارقام مقاوم، کنترل ناقلین. کنترل ناقلین (شته‌ها): «ایمیداکلوپراید ۳۵٪ SC» دوز: ۰.۵ میلی‌لیتر/لیتر آب به‌صورت محلول‌پاشی یا ۱ میلی‌لیتر/لیتر به‌صورت آبیاری پایه. تکرار: هر ۱۰–۱۴ روز. توجه: درمان شیمیایی خود ویروس وجود ندارد.
Tomato__Tomato_mosaic_virus,Africa,حذف گیاهان آلوده، ضدعفونی ابزار، کاشت ارقام مقاوم، کنترل ناقلین. کنترل ناقلین (شته‌ها): «ایمیداکلوپراید ۳۵٪ SC» دوز: ۰.۵ میلی‌لیتر/لیتر آب به‌صورت محلول‌پاشی یا ۱ میلی‌لیتر/لیتر به‌صورت آبیاری پایه. تکرار: هر ۱۰–۱۴ روز. توجه: درمان شیمیایی خود ویروس وجود ندارد.
Tomato__Tomato_mosaic_virus,Europe,حذف گیاهان آلوده، ضدعفونی ابزار، کاشت ارقام مقاوم، کنترل ناقلین. کنترل ناقلین (شته‌ها): «ایمیداکلوپراید ۳۵٪ SC» دوز: ۰.۵ میلی‌لیتر/لیتر آب به‌صورت محلول‌پاشی یا ۱ میلی‌لیتر/لیتر به‌صورت آبیاری پایه. تکرار: هر ۱۰–۱۴ روز. توجه: درمان شیمیایی خود ویروس وجود ندارد.
Tomato__Tomato_mosaic_virus,North America,حذف گیاهان آلوده، ضدعفونی ابزار، کاشت ارقام مقاوم، کنترل ناقلین. کنترل ناقلین (شته‌ها): «ایمیداکلوپراید ۳۵٪ SC» دوز: ۰.۵ میلی‌لیتر/لیتر آب به‌صورت محلول‌پاشی یا ۱ میلی‌لیتر/لیتر به‌صورت آبیاری پایه. تکرار: هر ۱۰–۱۴ روز. توجه: درمان شیمیایی خود ویروس وجود ندارد.
Tomato__Tomato_mosaic_virus,South America,حذف گیاهان آلوده، ضدعفونی ابزار، کاشت ارقام مقاوم، کنترل ناقلین. کنترل ناقلین (شته‌ها): «ایمیداکلوپراید ۳۵٪ SC» دوز: ۰.۵ میلی‌لیتر/لیتر آب به‌صورت محلول‌پاشی یا ۱ میلی‌لیتر/لیتر به‌صورت آبیاری پایه. تکرار: هر ۱۰–۱۴ روز. توجه: درمان شیمیایی خود ویروس وجود ندارد.
Tomato__Tomato_mosaic_virus,Australia,حذف گیاهان آلوده، ضدعفونی ابزار، کاشت ارقام مقاوم، کنترل ناقلین. کنترل ناقلین (شته‌ها): «ایمیداکلوپراید ۳۵٪ SC» دوز: ۰.۵ میلی‌لیتر/لیتر آب به‌صورت محلول‌پاشی یا ۱ میلی‌لیتر/لیتر به‌صورت آبیاری پایه. تکرار: هر ۱۰–۱۴ روز. توجه: درمان شیمیایی خود ویروس وجود ندارد.
Tomato__Tomato_YellowLeaf__Curl_Virus,Asia,حذف گیاهان آلوده، ضدعفونی ابزار، کاشت ارقام مقاوم، کنترل ناقلین. کنترل مگس‌سفید: «ایمیداکلوپراید ۳۵٪ SC» دوز: ۰.۵ میلی‌لیتر/لیتر یا «تیامِتوکسام ۲۵٪ WG» دوز: ۰.۲۵–۰.۳ گرم/لیتر. تکرار: ۱۰–۱۴ روز. استفاده از توری حشره‌گیر و مالچ بازتابنده.
Tomato__Tomato_YellowLeaf__Curl_Virus,Africa,حذف گیاهان آلوده، ضدعفونی ابزار، کاشت ارقام مقاوم، کنترل ناقلین. کنترل مگس‌سفید: «ایمیداکلوپراید ۳۵٪ SC» دوز: ۰.۵ میلی‌لیتر/لیتر یا «تیامِتوکسام ۲۵٪ WG» دوز: ۰.۲۵–۰.۳ گرم/لیتر. تکرار: ۱۰–۱۴ روز. استفاده از توری حشره‌گیر و مالچ بازتابنده.
Tomato__Tomato_YellowLeaf__Curl_Virus,Europe,حذف گیاهان آلوده، ضدعفونی ابزار، کاشت ارقام مقاوم، کنترل ناقلین. کنترل مگس‌سفید: «ایمیداکلوپراید ۳۵٪ SC» دوز: ۰.۵ میلی‌لیتر/لیتر یا «تیامِتوکسام ۲۵٪ WG» دوز: ۰.۲۵–۰.۳ گرم/لیتر. تکرار: ۱۰–۱۴ روز. استفاده از توری حشره‌گیر و مالچ بازتابنده.
Tomato__Tomato_YellowLeaf__Curl_Virus,North America,حذف گیاهان آلوده، ضدعفونی ابزار، کاشت ارقام مقاوم، کنترل ناقلین. کنترل مگس‌سفید: «ایمیداکلوپراید ۳۵٪ SC» دوز: ۰.۵ میلی‌لیتر/لیتر یا «تیامِتوکسام ۲۵٪ WG» دوز: ۰.۲۵–۰.۳ گرم/لیتر. تکرار: ۱۰–۱۴ روز. استفاده از توری حشره‌گیر و مالچ بازتابنده.
Tomato__Tomato_YellowLeaf__Curl_Virus,South America,حذف گیاهان آلوده، ضدعفونی ابزار، کاشت ارقام مقاوم، کنترل ناقلین. کنترل مگس‌سفید: «ایمیداکلوپراید ۳۵٪ SC» دوز: ۰.۵ میلی‌لیتر/لیتر یا «تیامِتوکسام ۲۵٪ WG» دوز: ۰.۲۵–۰.۳ گرم/لیتر. تکرار: ۱۰–۱۴ روز. استفاده از توری حشره‌گیر و مالچ بازتابنده.
Tomato__Tomato_YellowLeaf__Curl_Virus,Australia,حذف گیاهان آلوده، ضدعفونی ابزار، کاشت ارقام مقاوم، کنترل ناقلین. کنترل مگس‌سفید: «ایمیداکلوپراید ۳۵٪ SC» دوز: ۰.۵ میلی‌لیتر/لیتر یا «تیامِتوکسام ۲۵٪ WG» دوز: ۰.۲۵–۰.۳ گرم/لیتر. تکرار: ۱۰–۱۴ روز. استفاده از توری حشره‌گیر و مالچ بازتابنده.
Tomato_Bacterial_spot,Asia,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «کوپر اکسی کلراید ۳۵٪ WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: هر ۷ روز. دوره مصرف: ۱۴ روز. در صورت فشار بیماری، مخلوط با «مانکوزب ۸۰٪ WP» (۲ گرم/لیتر).
Tomato_Bacterial_spot,Africa,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «کوپر اکسی کلراید ۳۵٪ WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: هر ۷ روز. دوره مصرف: ۱۴ روز. در صورت فشار بیماری، مخلوط با «مانکوزب ۸۰٪ WP» (۲ گرم/لیتر).
Tomato_Bacterial_spot,Europe,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «کوپر اکسی کلراید ۳۵٪ WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: هر ۷ روز. دوره مصرف: ۱۴ روز. در صورت فشار بیماری، مخلوط با «مانکوزب ۸۰٪ WP» (۲ گرم/لیتر).
Tomato_Bacterial_spot,North America,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «کوپر اکسی کلراید ۳۵٪ WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: هر ۷ روز. دوره مصرف: ۱۴ روز. در صورت فشار بیماری، مخلوط با «مانکوزب ۸۰٪ WP» (۲ گرم/لیتر).
Tomato_Bacterial_spot,South America,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «کوپر اکسی کلراید ۳۵٪ WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: هر ۷ روز. دوره مصرف: ۱۴ روز. در صورت فشار بیماری، مخلوط با «مانکوزب ۸۰٪ WP» (۲ گرم/لیتر).
Tomato_Bacterial_spot,Australia,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «کوپر اکسی کلراید ۳۵٪ WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: هر ۷ روز. دوره مصرف: ۱۴ روز. در صورت فشار بیماری، مخلوط با «مانکوزب ۸۰٪ WP» (۲ گرم/لیتر).
Tomato_Early_blight,Asia,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «مانکوزب ۸۰٪ WP». دوز: ۲–۲.۵ گرم در لیتر آب. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. در تناوب با «دیفناکونازول ۱۰٪ EC» (۰.۳ میلی‌لیتر/لیتر).
Tomato_Early_blight,Africa,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «مانکوزب ۸۰٪ WP». دوز: ۲–۲.۵ گرم در لیتر آب. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. در تناوب با «دیفناکونازول ۱۰٪ EC» (۰.۳ میلی‌لیتر/لیتر).
Tomato_Early_blight,Europe,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «مانکوزب ۸۰٪ WP». دوز: ۲–۲.۵ گرم در لیتر آب. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. در تناوب با «دیفناکونازول ۱۰٪ EC» (۰.۳ میلی‌لیتر/لیتر).
Tomato_Early_blight,North America,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «مانکوزب ۸۰٪ WP». دوز: ۲–۲.۵ گرم در لیتر آب. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. در تناوب با «دیفناکونازول ۱۰٪ EC» (۰.۳ میلی‌لیتر/لیتر).
